序号,姓名,性别,班级,生源省份,政治面貌,年龄,生日,民族
52,彭佳琪,女,人工智能2班,海南,共青团员,17,2006-05-22,汉族
53,龙宇轩,男,计算机1班,山东,群众,18,2005-04-15,汉族
54,史梦瑶,女,计算机2班,西藏,共青团员,19,2004-08-28,汉族
55,贺浩然,男,计算机3班,山东,预备党员,18,2005-02-07,汉族
56,倪静怡,女,计算机4班,天津,共青团员,18,2005-10-25,汉族
57,安志强,男,软件工程1班,山东,党员,18,2005-01-08,汉族
58,易思婷,女,软件工程2班,北京,共青团员,18,2005-08-14,汉族
59,武明哲,男,软件工程3班,山东,群众,17,2006-04-03,汉族
60,戴雨欣,女,软件工程4班,上海,共青团员,18,2005-11-19,汉族
61,钟浩然,男,软件工程5班,山东,预备党员,18,2005-05-06,汉族
62,严思琪,女,软件工程6班,江苏,党员,19,2004-09-12,汉族
63,宋志强,男,软件工程7班,山东,共青团员,18,2005-03-25,汉族
64,姜雅婷,女,软件工程8班,浙江,群众,18,2005-09-30,汉族
65,钱明,男,智科1班,山东,预备党员,18,2005-02-21,汉族
66,傅思颖,女,智科2班,广东,共青团员,18,2005-07-08,汉族
67,汤浩然,男,人工智能1班,山东,党员,17,2006-05-14,汉族
68,邵雨薇,女,人工智能2班,四川,共青团员,18,2005-10-09,汉族
69,万文博,男,计算机1班,山东,群众,18,2005-04-01,汉族
70,柯静雯,女,计算机2班,河南,预备党员,19,2004-11-15,汉族
71,骆子豪,男,计算机3班,山东,共青团员,18,2005-01-27,汉族
72,夏佳怡,女,计算机4班,福建,党员,18,2005-08-02,汉族
73,洪浩然,男,软件工程1班,山东,群众,18,2005-03-14,汉族
74,林梦洁,女,软件工程2班,湖南,共青团员,18,2005-09-25,汉族
75,章宇轩,男,软件工程3班,山东,预备党员,17,2006-04-18,汉族
76,任思颖,女,软件工程4班,湖北,共青团员,18,2005-11-07,汉族
77,季宇航,男,软件工程5班,山东,党员,18,2005-02-03,汉族
78,管雯婧,女,软件工程6班,陕西,共青团员,19,2004-10-22,汉族
79,鲁云鹏,男,软件工程7班,山东,群众,18,2005-06-13,汉族
80,莫玉婷,女,软件工程8班,山西,预备党员,18,2005-12-28,汉族
81,房晨旭,男,智科1班,山东,共青团员,18,2005-05-07,汉族
82,左欣怡,女,智科2班,甘肃,党员,17,2006-03-19,汉族
83,辛博文,男,人工智能1班,山东,群众,18,2005-08-26,汉族
84,程雨薇,女,人工智能2班,河北,共青团员,18,2005-01-12,汉族
85,覃家豪,男,计算机1班,山东,预备党员,19,2004-12-05,汉族
86,项若曦,女,计算机2班,辽宁,共青团员,18,2005-07-16,汉族
87,解昊天,男,计算机3班,山东,党员,18,2005-04-09,汉族
88,单婉清,女,计算机4班,吉林,共青团员,18,2005-10-04,汉族
89,欧祥瑞,男,软件工程1班,山东,群众,17,2006-02-27,汉族
90,巩晓萱,女,软件工程2班,黑龙江,预备党员,18,2005-09-11,汉族
91,舒子涵,男,软件工程3班,山东,共青团员,18,2005-06-04,汉族
92,阮诗雨,女,软件工程4班,安徽,党员,19,2004-11-28,汉族
93,纪浩宇,男,软件工程5班,山东,群众,18,2005-03-21,汉族
94,强雅文,女,软件工程6班,江西,共青团员,18,2005-08-17,汉族
95,贾明杰,男,软件工程7班,山东,预备党员,18,2005-01-30,汉族
96,路思萌,女,软件工程8班,重庆,共青团员,18,2005-07-23,汉族
97,娄家旭,男,智科1班,山东,党员,20,2003-09-14,汉族
98,丛若兰,女,智科2班,云南,共青团员,18,2005-04-26,汉族
99,盖文博,男,人工智能1班,山东,群众,18,2005-02-13,汉族
100,屠佳琪,女,人工智能2班,贵州,预备党员,17,2006-06-01,汉族
101,敖宇轩,男,计算机1班,山东,共青团员,18,2005-05-18,汉族
102,李梦瑶,女,计算机2班,广西,党员,19,2004-10-08,汉族
103,宋浩然,男,计算机3班,山东,群众,18,2005-03-05,汉族
104,王静怡,女,计算机4班,甘肃,共青团员,18,2005-09-28,汉族
105,张伟,男,软件工程1班,山东,预备党员,18,2005-01-16,汉族
106,刘雨欣,女,软件工程2班,内蒙古,共青团员,18,2005-08-21,汉族
107,陈志强,男,软件工程3班,山东,党员,17,2006-04-09,汉族
108,赵雅婷,女,软件工程4班,宁夏,共青团员,18,2005-11-14,汉族
109,周明,男,软件工程5班,山东,群众,18,2005-06-07,汉族
110,吴思琪,女,软件工程6班,青海,预备党员,18,2005-02-24,汉族
111,郑浩然,男,软件工程7班,山东,共青团员,18,2005-07-12,汉族
112,孙梦瑶,女,软件工程8班,新疆,党员,19,2004-12-19,汉族
113,林志强,男,智科1班,山东,群众,18,2005-05-03,汉族
114,黄诗雨,女,智科2班,海南,共青团员,18,2005-10-26,汉族
115,徐明,男,人工智能1班,山东,预备党员,17,2006-03-17,汉族
116,朱雅婷,女,人工智能2班,西藏,共青团员,18,2005-08-10,汉族
117,马浩然,男,计算机1班,山东,党员,18,2005-01-23,汉族
118,高思琪,女,计算机2班,天津,共青团员,18,2005-09-04,汉族
119,谢志强,男,计算机3班,山东,群众,19,2004-11-01,汉族
120,冯雨欣,女,计算机4班,北京,预备党员,18,2005-06-27,汉族
121,董明,男,软件工程1班,山东,共青团员,18,2005-02-11,汉族
122,曹雅婷,女,软件工程2班,上海,党员,18,2005-07-30,汉族
123,许文博,男,软件工程3班,山东,群众,18,2005-04-14,汉族
124,唐静雯,女,软件工程4班,江苏,共青团员,17,2006-05-07,汉族
125,郭子豪,男,软件工程5班,山东,预备党员,18,2005-01-02,汉族
126,韩佳怡,女,软件工程6班,浙江,共青团员,18,2005-08-25,汉族
127,邓浩然,男,软件工程7班,山东,党员,19,2004-12-12,汉族
128,于梦洁,女,软件工程8班,广东,共青团员,18,2005-05-20,汉族
129,江宇轩,男,智科1班,山东,群众,18,2005-03-09,汉族
130,沈思颖,女,智科2班,四川,预备党员,18,2005-10-02,汉族
131,蒋宇航,男,人工智能1班,山东,共青团员,18,2005-06-15,汉族
132,蔡雯婧,女,人工智能2班,河南,党员,17,2006-02-08,汉族
133,贾云鹏,男,计算机1班,山东,群众,18,2005-04-28,汉族
134,丁玉婷,女,计算机2班,河北,共青团员,18,2005-09-21,汉族
135,魏晨旭,男,计算机3班,山东,预备党员,19,2004-11-14,汉族
136,潘欣怡,女,计算机4班,辽宁,共青团员,18,2005-07-07,汉族
137,田博文,男,软件工程1班,山东,党员,18,2005-02-01,汉族
138,杜雨薇,女,软件工程2班,吉林,共青团员,18,2005-08-24,汉族
139,范家豪,男,软件工程3班,山东,群众,17,2006-04-17,汉族
140,黎若曦,女,软件工程4班,黑龙江,预备党员,18,2005-11-10,汉族
141,石昊天,男,软件工程5班,山东,共青团员,18,2005-06-03,汉族
142,顾婉清,女,软件工程6班,安徽,党员,18,2005-01-26,汉族
143,孟祥瑞,男,软件工程7班,山东,群众,18,2005-09-19,汉族
144,龚晓萱,女,软件工程8班,江西,共青团员,19,2004-10-13,汉族
145,熊子涵,男,智科1班,山东,预备党员,18,2005-05-06,汉族
146,侯诗雨,女,智科2班,重庆,共青团员,18,2005-12-29,汉族
147,秦浩宇,男,人工智能1班,山东,党员,17,2006-03-22,汉族
148,薛雅文,女,人工智能2极,宁夏,共青团员,18,2005-08-15,汉族
149,陆明杰,男,计算机1班,山东,群众,18,2005-04-08,汉族
150,尹思萌,女,计算机2班,青海,预备党员,18,2005-11-01,汉族
151,段家旭,男,计算机3班,山东,共青团员,20,2003-10-05,汉族
152,白若兰,女,计算机4班,新疆,党员,18,2005-07-18,汉族
153,邱文博,男,软件工程1班,山东,群众,18,2005-03-01,汉族
154,彭佳琪,女,软件极工程2班,海南,共青团员,17,2006-05-21,汉族
155,龙宇轩,男,软件工程3班,山东,预备党员,18,2005-04-14,汉族
156,史梦瑶,女,软件工程4班,西藏,共青团员,19,2004-08-27,汉族
157,贺浩然,男,软件工程5班,山东,党员,18,2005-02-06,汉族
158,倪静怡,女,软件工程6班,天津,共青团员,18,2005-10-24,汉族
159,安志强,男,软件工程7班,山东,群众,18,2005-01-07,汉族
160,易思婷,女,软件工程8班,北京,预备党员,18,2005-08-13,汉族
161,武明哲,男,智科1班,山东,共青团员,17,2006-04-02,汉族
162,戴雨欣,女,智科2班,上海,党员,18,2005-11-18,汉族
163,钟浩然,男,人工智能1班,山东,群众,18,2005-05-05,汉族
164,严思琪,女,人工智能2班,江苏,共青团员,19,2004-09-11,汉族
165,宋志强,男,计算机1班,山东,预备党员,18,2005-03-24,汉族
166,姜雅婷,女,计算机2班,浙江,共青团员,18,2005-09-29,汉族
167,钱明,男,计算机3班,山东,党员,18,2005-02-20,汉族
168,傅思颖,女,计算机4班,广东,群众,18,2005-07-07,汉族
169,汤浩然,男,软件工程1班,山东,共青团员,17,2006-05-13,汉族
170,邵雨薇,女,软件工程2班,四川,预备党员,18,2005-10-08,汉族
171,万文博,男,软件工程3班,山东,党员,18,2005-03-31,汉族
172,柯静雯,女,软件工程4班,河南,共青团员,19,2004-11-14,汉族
173,骆子豪,男,软件工程5班,山东,群众,18,2005-01-26,汉族
174,夏佳怡,女,软件工程6班,福建,共青团员,18,2005-08-01,汉族
175,洪浩然,男,软件工程7班,山东,预备党员,18,2005-03-13,汉族
176,林梦洁,女,软件工程8班,湖南,党员,18,2005-09-24,汉族
177,章宇轩,男,智科1班,山东,群众,17,2006-04-17,汉族
178,任思颖,女,智科2班,湖北,共青团员,18,2005-11-06,汉族
179,季宇航,男,人工智能1班,山东,预备党员,18,2005-02-02,汉族
180,管雯婧,女,人工智能2班,陕西,共青团员,19,2004-10-21,汉族
181,鲁云鹏,男,计算机1班,山东,党员,18,2005-06-12,汉族
182,莫玉婷,女,计算机2班,山西,共青团员,18,2005-12-27,汉族
183,房晨旭,男,计算机3班,山东,群众,18,2005-05-06,汉族
184,左欣怡,女,计算机4班,甘肃,预备党员,17,2006-03-18,汉族
185,辛博文,男,软件工程1班,山东,共青团员,18,2005-08-25,汉族
186,程雨薇,女,软件工程2班,河北,党员,18,2005-01-11,汉族
187,覃家豪,男,软件工程3班,山东,群众,19,2004-12-04,汉族
188,项若曦,女,软件工程4班,辽宁,共青团员,18,2005-07-15,汉族
189,解昊天,男,软件工程5班,山东,预备党员,18,极2005-04-08,汉族
190,单婉清,女,软件工程6班,吉林,共青团员,18,2005-10-03,汉族
191,欧祥瑞,男,软件工程7班,山东,党员,17,2006-02-26,汉族
192,巩晓萱,极女,软件工程8班,黑龙江,共青团员,18,2005-09-10,汉族
193,舒子涵,男,智科1班,山东,群众,18,2005-06-03,汉族
194,阮诗雨,女,智科2班,安徽,预备党员,19,2004-11-27,汉族
195,纪浩宇,男,人工智能1班,山东,共青团员,18,2005-03-20,汉族
196,强雅文,女,人工智能2班,江西,党员,18,2005-08-16,汉族
197,贾明杰,男,计算机1班,山东,群众,18,2005-01-29,汉族
198,路思萌,女,计算机2班,重庆,共青团员,18,2005-07-22,汉族
199,娄家旭,男,计算机3班,山东,预备党员,20,2003-09-13,汉族
200,丛若兰,女,计算机4班,云南,党员,18,2005-04-25,汉族
201,盖文博,男,软件工程1班,山东,群众,18,2005-02-12,汉族
202,屠佳琪,女,软件工程2班,贵州,共青团员,17,2006-05-31,汉族
203,敖宇轩,男,软件工程3班,山东,预备党员,18,2005-05-17,汉族
204,李梦瑶,女,软件工程4班,广西,党员,19,2004-10-07,汉族
205,宋浩然,男,软件工程5班,山东,群众,18,2005-03-04,汉族
206,王静怡,女,软件工程6班,甘肃,共青团员,18,2005-09-27,汉族
207,张伟,男,软件工程7班,山东,预备党员,18,2005-01-15,汉族
208,刘雨欣,女,软件工程8班,内蒙古,党员,18,2005-08-20,汉族
209,陈志强,男,智科1班,山东,共青团员,17,2006-04-08,汉族
210,赵雅婷,女,智科2班,宁夏,群众,18,2005-11-13,汉族
211,周明,男,人工智能1班,山东,预备党员,18,2005-06-06,汉族
212,吴思琪,女,人工智能2班,青海,共青团员,18,2005-02-23,汉族
213,郑浩然,男,计算机1班,山东,党员,18,2005-07-11,汉族
214,孙梦瑶,女,计算机2极班,新疆,共青团员,19,2004-12-18,汉族
215,林志强,男,计算机3班,山东,群众,18,2005-05-02,汉族
216,黄诗雨,女,计算机4班,海南,预备党员,18,2005-10-25,汉族
217,徐明,男,软件工程1班,山东,共青团员,17,2006-03-16,汉族
218,朱雅婷,女,软件工程2班,西藏,党员,18,2005-08-09,汉族
219,马浩然,男,软件工程3班,山东,群众,18,2005-01-22,汉族
220,高思琪,女,软件工程4班,天津,共青团员,18,2005-09-03,汉族
221,谢志强,男,软件工程5班,山东,预备党员,19,2004-10-31,汉族
222,冯雨欣,女,软件工程6班,北京,党员,18,2005-06-26,汉族
223,董明,男,软件工程7班,山东,共青团员,18,2005-02-10,汉族
224,曹雅婷,女,软件工程8班,上海,群众,18,2005-07-29,汉族
225,许文博,男,智科1班,山东,预备党员,18,2005-04-13,汉族
226,唐静雯,女,智科2班,江苏,共青团员,17,2006-05-06,汉族
227,郭子豪,男,人工智能1班,山东,党员,18,2005-01-01,汉族
228,韩佳怡,女,人工智能2班,浙江,共青团员,18,2005-08-24,汉族
229,邓浩然,男,计算机1班,山东,群众,19,2004-12-11,汉族
230,于梦洁,女,计算机2班,广东,预备党员,18,2005-05-19,汉族
231,江宇轩,男,计算机3班,山东,共青团员,18,2005-03-08,汉族
232,沈思颖,女,计算机4班,四川,党员,18,2005-10-01,汉族
233,蒋宇航,男,软件工程1班,山东,群众,18,2005-06-14,汉族
234,蔡雯婧,女,软件工程2班,河南,共青团员,17,2006-02-07,汉族
235,贾云鹏,男,软件工程3班,山东,预备党员,18,2005-04-27,汉族
236,丁玉婷,女,软件工程4极班,河北,党员,18,2005-09-20,汉族
237,魏晨旭,男,软件工程5班,山东,共青团员,19,2004-11-13,汉族
238,潘欣怡,女,软件工程6班,辽宁,群众,18,2005-07-06,汉族
239,田博极文,男,软件工程7班,山东,预备党员,18,2005-01-31,汉族
240,杜雨薇,女,软件工程8班,吉林,共青团员,18,2005-08-23,汉族
241,范家豪,男,智科1班,山东,党员,17,2006-04-16,汉族
242,黎若曦,女,智科2班,黑龙江,共青团员,18,2005-11-09,汉族
243,石昊天,男,人工智能1班,山东,群众,18,2005-06-02,汉族
244,顾婉清,女,人工智能2班,安徽,预备党员,18,2005-01-25,汉族
245,孟祥瑞,男,计算机1班,山东,共青团员,18,2005-09-18,汉族
246,龚晓萱,女,计算机2班,江西,党员,19,2004-10-12,汉族
247,熊子涵,男,计算机3班,山东,群众,18,2005-05-05,汉族
248,侯诗极雨,女,计算机4班,重庆,共青团员,18,2005-12-28,汉族
249,秦浩宇,男,软件工程1班,山东,预备党员,17,2006-03-21,汉族
250,薛雅文,女,软件工程2班,宁夏,共青团员,18,2005-08-14,汉族
251,陆明杰,男,软件工程3班,山东,党员,18,2005-04-07,汉族
252,尹思萌,女,软件工程4班,青海,共青团员,18,2005-10-31,汉族
253,段家旭,男,软件工程5班,山东,群众,20,2003-09-13,汉族
254,白若兰,女,软件工程6班,新疆,预备党员,18,2005-07-17,汉族
255,邱文博,男,软件工程7班,山东,共青团员,18,2005-03-01,汉族
256,彭佳琪,女,软件工程8班,海南,党员,17,2006-05-20,汉族
257,龙宇轩,男,智科1班,山东,群众,18,2005-04-13,汉族
258,史梦瑶,女,智科2班,西藏,共青团员,19,2004-08-26,汉族
259,贺浩然,男,人工智能1班,山东,预备党员,18,2005-02-05,汉族
260,倪静怡,女,人工智能2班,天津,共青团员,18,2005-10-23,汉族
261,安志强,男,计算机1班,山东,党员,18,2005-01-06,汉族
262,易思婷,女,计算机2班,北京,共青团员,18,2005-08-12,汉族
263,武明哲,男,计算机3班,山东,群众,17,2006-04-01,汉族
264,戴雨欣,女,计算机4班,上海,预备党员,18,2005-11-17,汉族
265,钟浩然,男,软件工程1班,山东,共青团员,18,2005-05-04,汉族
266,严思琪,女,软件工程2班,江苏,党员,19,2004-09-10,汉族
267,宋志强,男,软件工程3班,山东,群众,18,2005-03-23,汉族
268,姜雅婷,女,软件工程4班,浙江,共青团员,18,2005-09-28,汉族
269,钱明,男,软件工程5班,山东,预备党员,18,2005-02-19,汉族
270,傅思颖,女,软件工程6班,广东,共青团员,18,2005-07-06,汉族
271,汤浩然,男,软件工程7班,山东,党员,17,2006-05-12,汉族
272,邵雨薇,女,软件工程8班,四川,共青团员,18,2005-10-07,汉族
273,万文博,男,智科1班,山东,群众,18,2005-03-30,汉族
274,柯静雯,女,智科2班,河南,预备党员,19,2004-11-13,汉族
275,骆子豪,男,人工智能1班,山东,共青团员,18,2005-01-25,汉族
276,夏佳怡,女,人工智能2班,福建,党员,18,2005-07-31,汉族
277,洪浩然,男,计算机1班,山东,群众,18,2005-03-12,汉族
278,林梦洁,女,计算机2班,湖南,共青团员,18,2005-09-23,汉族
279,章宇轩,男,计算机3班,山东,预备党员,17,2006-04-15,汉族
280,任思颖,女,计算机4班,湖北,党员,18,2005-11-05,汉族
281,季宇航,男,软件工程1班,山东,共青团员,18,2005-02-01,汉族
282,管雯婧,女,软件工程2班,陕西,群众,19,2004-10-20,汉族
283,鲁云鹏,男,软件工程3班,山东,预备党员,18,2005-06-11,汉族
284,莫玉婷,女,软件工程4班,山西,共青团员,18,2005-12-26,汉族
285,房晨旭,男,软件工程5班,山东,党员,18,2005-05-05,汉族
286,左欣怡,女,软件工程6班,甘肃,共青团员,17,2006-03-17,汉族
287,辛博文,男,软件工程7班,山东,群众,18,2005-08-24,汉族
288,程雨薇,女,软件工程8班,河北,预备党员,18,2005-01-10,汉族
289,覃家豪,男,智科1班,山东,共青团员,19,2004-12-03,汉族
290,项若曦,女,智科2班,辽宁,党员,18,2005-07-14,汉族
291,解昊天,男,人工智能1班,山东,群众,18,2005-04-07,汉族
292,单婉清,女,人工智能2班,吉林,共青团员,18,2005-10-02,汉族
293,欧祥瑞,男,计算机1班,山东,预备党员,17,2006-02-25,汉族
294,巩晓萱,女,计算机2班,黑龙江,党员,18,2005-09-09,汉族
295,舒子涵,男,计算机3班,山东,共青团员,18,2005-06-02,汉族
296,阮诗雨,女,计算机4班,安徽,群众,19,2004-11-26,汉族
297,纪浩宇,男,软件工程1班,山东,预备党员,18,2005-03-19,汉族
298,强雅文,女,软件工程2班,江西,共青团员,18,2005-08-15,汉族
299,贾明杰,男,软件工程3班,山东,党员,18,2005-01-28,汉族
300,路思萌,女,软件工程4班,重庆,共青团员,18,2005-07-21,汉族
301,娄家旭,男,软件工程5班,山东,群众,20,2003-09-12,汉族
302,丛若兰,女,软件工程6班,云南,预备党员,18,2005-04-24,汉族
303,盖文博,男,软件工程7班,山东,共青团员,18,2005-02-11,汉族
304,屠佳琪,女,软件工程8班,贵州,党员,17,2006-05-30,汉族
305,敖宇轩,男,智科1班,山东,群众,18,2005-05-16,汉族
306,李梦瑶,女,智科2班,广西,共青团员,19,2004-10-06,汉族
307,宋浩然,男,人工智能1班,山东,预备党员,18,2005-03-03,汉族
308,王静怡,女,人工智能2班,甘肃,共青团员,18,2005-09-26,汉族
309,张伟,男,计算机1班,山东,党员,18,2005-01-14,汉族
310,刘雨欣,女,计算机2班,内蒙古,共青团员,18,2005-08-19,汉族
311,陈志强,男,计算机3班,山东,群众,17,2006-04-07,汉族
312,赵雅婷,女,计算机4班,宁夏,预备党员,18,2005-11-12,汉族
313,周明,男,软件工程1班,山东,共青团员,18,2005-06-05,汉族
314,吴思琪,女,软件工程2班,青海,党员,18,2005-02-22,汉族
315,郑浩然,男,软件工程3班,山东,群众,18,2005-07-10,汉族
316,孙梦瑶,女,软件工程4班,新疆,共青团员,19,2004-12-17,汉族
317,林志强,男,软件工程5班,山东,预备党员,18,2005-05-01,汉族
318,黄诗雨,女,软件工程6班,海南,共青团员,18,2005-10-24,汉族
319,徐明,男,软件工程7班,山东,党员,17,2006-03-15,汉族
320,朱雅婷,女,软件工程8班,西藏,共青团员,18,2005-08-08,汉族
321,马浩然,男,智科1班,山东,群众,18,2005-01-21,汉族
322,高思琪,女,智科2极班,天津,预备党员,18,2005-09-02,汉族
323,谢志强,男,人工智能1班,山东,共青团员,19,2004-10-30,汉族
324,冯雨欣,女,人工智能2班,北京,党员,18,2005-06-25,汉族
325,董明,男,计算机1班,山东,群众,18,2005-02-09,汉族
326,曹雅婷,女,计算机2班,上海,共青团员,18,2005-07-28,汉族
327,许文博,男,计算机3班,山东,预备党员,18,2005-04-12,汉族
328,唐静雯,女,计算机4班,江苏,党员,17,2006-05-05,汉族
329,郭子豪,男,软件工程1班,山东,共青团员,18,2004-12-31,汉族
330,韩佳怡,女,软件工程2班,浙江,群众,18,2005-08-23,汉族
331,邓浩然,男,软件工程3班,山东,预备党员,19,2004-12-10,汉族
332,于梦洁,女,软件工程4班,广东,共青团员,18,2005-05-18,汉族
333,江宇轩,男,软件工程5班,山东,党员,18,2005-03-07,汉族
334,沈思颖,女,软件工程6班,四川,共青团员,18,2005-09-30,汉族
335,蒋宇航,男,软件工程7班,山东,群众,18,2005-06-13,汉族
336,蔡雯婧,女,软件工程8班,河南,预备党员,17,2006-02-06,汉族
337,贾云鹏,男,智科1班,山东,共青团员,18,2005-04-26,汉族
338,丁玉婷,女,智科2班,河北,党员,18,2005-09-19,汉族
339,魏晨旭,男,人工智能1班,山东,群众,19,2004-11-12,汉族
340,潘欣怡,女,人工智能2班,辽宁,共青团员,18,2005-07-05,汉族
341,田博文,男,计算机1班,山东,预备党员,18,2005-01-30,汉族
342,杜雨薇,女,计算机2班,吉林,党员,18,2005-08-22,汉族
343,范家豪,男,计算机3班,山东,共青团员,17,2006-04-15,汉族
344,黎若曦,女,计算机4班,黑龙江,群众,18,2005-11-08,汉族
345,石昊天,男,软件工程1班,山东,预备党员,18,2005-06-01,汉族
346,顾婉清,女,软件工程2班,安徽,共青团员,18,2005-01-24,汉族
347,孟祥瑞,男,软件工程3班,山东,党员,18,2005-09-17,汉族
348,龚晓萱,女,软件工程4班,江西,共青团员,19,2004-10-11,汉族
349,熊子涵,男,软件工程5班,山东,群众,18,2005-05-04,汉族
350,侯诗雨,女,软件工程6班,重庆,预备党员,18,2005-12-27,汉族
351,秦浩宇,男,软件工程7班,山东,共青团员,17,2006-03-20,汉族
352,薛雅文,女,软件工程8班,宁夏,党员,18,2005-08-13,汉族
353,陆明杰,男,智科1班,山东,群众,18,2005-04-06,汉族
354,尹思萌,女,智科2班,青海,共青团员,18,2005-10-30,汉族
355,段家旭,男,人工智能1班,山东,预备党员,20,2003-09-12,汉族
356,白若兰,女,人工智能2班,新疆,共青团员,18,2005-07-16,汉族
357,邱文博,男,计算机1班,山东,党员,18,2005-02-28,汉族
358,彭佳琪,女,计算机2班,海南,共青团员,17,2006-05-19,汉族
359,龙宇轩,男,计算机3班,山东,群众,18,2005-04-12,汉族
360,史梦瑶,女,计算机4班,西藏,预备党员,19,2004-08-25,汉族
361,贺浩然,男,软件工程1班,山东,共青团员,18,2005-02-04,汉族
362,倪静怡,女,软件工程2班,天津,党员,18,2005-10-22,汉族
363,安志强,男,软件工程3班,山东,群众,18,2005-01-05,汉族
364,易思婷,女,软件工程4班,北京,共青团员,18,2005-08-11,汉族
365,武明哲,男,软件工程5班,山东,预备党员,17,2006-03-31,汉族
366,戴雨欣,女,软件工程6班,上海,共青团员,18,2005-11-16,汉族
367,钟浩然,男,软件工程7班,山东,党员,18,极2005-05-03,汉族
368,严思琪,女,软件工程8班,江苏,共青团员,19,2004-09-09,汉族
369,宋志强,男,智科1班,山东,群众,18,2005-03-22,汉族
370,姜雅婷,女,智科2班,浙江,预备党员,18,2005-09-27,汉族
371,钱明,男,人工智能1班,山东,共青团员,18,2005-02-18,汉族
372,傅思颖,女,人工智能2班,广东,党员,18,2005-07-05,汉族
373,汤浩然,男,计算机1班,山东,群众,17,2006-05-11,汉族
374,邵雨薇,女,计算机2班,四川,共青团员,18,2005-10-06,汉族
375,万文博,男,计算机3班,山东,预备党员,18,2005-03-29,汉族
376,柯静雯,女,计算机4班,河南,共青团员,19,2004-11-12,汉族
